pilot,avg_speed,best_lap,grid,points,result,time,
per,223.845,78.949,3,18,2,5544.513,
lec,224.914,78.574,2,8,6,5584.058,
sai,nan,nan,4,0,20,nan,
gas,216.274,81.713,17,0,12,nan,
tsu,219.412,80.544,12,6,7,5589.096,
ric,216.634,81.577,6,0,18,nan,
nor,218.439,80.90299999999999,5,15,3,5562.82,
oco,215.814,81.887,16,0,14,nan,
alo,177.282,99.685,9,0,19,nan,
vet,217.610,81.211,13,4,8,5598.878,
str,216.176,81.75,15,1,10,nan,
lat,217.271,81.338,19,0,16,nan,
alb,216.157,81.757,18,0,11,nan,
bot,218.831,80.758,7,10,5,5571.167,
zho,217.410,81.286,0,0,15,nan,
mag,217.538,81.238,8,2,9,5603.246,
sch,nan,nan,nan,0,nan,nan,
ham,209.629,92.941,6,8,6,5685.626,
rus,211.325,92.195,12,10,5,5682.84,
ver,213.255,91.361,3,34,1,5664.258,
per,212.191,91.819,4,18,4,5674.896,
lec,212.959,91.488,1,25,2,5668.044,
sai,212.258,91.78999999999999,2,20,3,5672.487,
gas,206.199,94.487,7,0,18,nan,
tsu,209.417,93.035,9,0,12,5704.404,
ric,208.901,93.265,14,3,13,5705.16,
nor,208.575,93.411,8,4,19,nan,
oco,209.130,93.163,20,4,8,5692.644,
alo,208.753,93.331,11,0,11,5701.386,
vet,208.423,93.479,0,0,17,nan,
str,208.796,93.312,0,1,10,5701.284,
lat,206.896,94.169,19,0,14,5714.194,
alb,208.494,93.447,18,2,9,5696.623,
bot,209.083,93.184,5,8,7,5689.331,
zho,203.520,95.731,17,0,20,nan,
mag,208.351,93.511,16,1,16,nan,
sch,nan,nan,nan,0,nan,nan,
ham,199.755,84.253,6,10,5,5895.009,
rus,198.851,84.636,4,15,3,5873.402,
ver,196.943,85.456,2,25,1,5840.475,
per,200.099,84.108,5,19,2,5853.547,
lec,193.381,87.03,1,0,20,nan,
sai,195.731,85.985,3,12,4,5885.683,
gas,193.477,86.987,14,0,13,nan,
tsu,193.831,86.828,13,1,10,nan,
ric,192.816,87.285,9,0,12,nan,
nor,196.568,85.619,11,4,8,5923.71,
oco,195.845,85.935,12,6,7,5915.872,
alo,194.344,86.599,20,2,9,nan,
vet,192.059,87.629,16,0,11,nan,
str,193.724,86.876,17,0,15,nan,
lat,192.902,87.246,19,0,16,nan,
alb,190.641,88.281,18,0,18,nan,
bot,194.802,86.395,7,8,6,5900.451,
zho,190.352,88.41499999999999,15,0,19,nan,
mag,192.261,87.537,8,0,17,nan,
sch,nan,nan,nan,0,nan,nan,
ham,155.605,77.203,8,4,8,7040.653,
rus,156.360,76.83,6,10,5,7002.233,
ver,157.960,76.05199999999999,4,15,3,6991.756,
per,158.010,76.02799999999999,3,25,1,6990.265,
lec,157.552,76.249,1,12,4,6993.187,
sai,157.197,76.42099999999999,2,18,2,6991.419,
gas,155.321,77.344,17,0,11,7044.554,
tsu,159.465,75.334,11,0,17,nan,
ric,154.945,77.532,14,0,13,7047.9,
nor,160.834,74.693,5,9,6,7002.496,
oco,154.867,77.571,10,0,12,7045.909,
alo,158.314,75.882,7,6,7,7036.623,
vet,154.893,77.55799999999999,9,1,10,7043.801,
str,154.665,77.672,18,0,14,7051.067,
lat,152.880,78.57900000000001,19,0,15,nan,
alb,153.969,78.023,16,0,18,nan,
bot,154.809,77.6,12,2,9,7042.79,
zho,153.621,78.2,20,0,16,nan,
mag,128.135,93.75399999999999,13,0,20,nan,
sch,nan,nan,nan,0,nan,nan,
ham,201.887,107.044,7,12,4,5717.62,
rus,201.636,107.17699999999999,5,15,3,5691.936,
ver,203.779,106.05,3,25,1,5645.941,
per,203.787,106.04599999999999,2,19,2,5666.764,
lec,200.972,107.531,1,0,19,nan,
sai,198.304,108.97800000000001,4,0,20,nan,
gas,199.143,108.519,6,10,5,5723.24,
tsu,200.987,107.523,8,0,13,nan,
ric,199.589,108.27600000000001,12,4,8,5738.148,
nor,200.105,107.997,11,2,9,5738.497,
oco,199.551,108.297,13,1,10,5661.569,
alo,200.120,107.989,10,6,7,5734.537,
vet,199.719,108.206,9,8,6,5730.04,
str,200.029,108.038,19,0,16,nan,
lat,197.209,109.583,18,0,15,nan,
alb,200.163,107.96600000000001,17,0,12,nan,
bot,199.768,108.179,15,0,11,nan,
zho,198.769,108.723,14,0,18,nan,
mag,198.648,108.789,16,0,17,nan,
sch,nan,nan,nan,0,nan,nan,
ham,206.120,76.167,4,15,3,5788.763,
rus,205.443,76.418,8,12,4,5794.07,
ver,207.012,75.839,1,25,1,5781.757,
per,199.122,78.844,13,0,20,nan,
lec,206.843,75.901,19,10,5,5796.925,
sai,207.258,75.749,3,19,2,5782.75,
gas,201.768,77.81,15,0,14,5826.94,
tsu,200.482,78.309,20,0,18,nan,
ric,201.452,77.932,9,0,11,5824.804,
nor,202.588,77.495,14,0,15,5833.902,
oco,203.600,77.11,7,8,6,5805.647,
alo,205.014,76.578,2,2,9,5811.702,
vet,201.390,77.956,16,0,12,5826.002,
str,202.782,77.42099999999999,17,1,10,5819.979,
lat,199.893,78.53999999999999,18,0,16,5841.735,
alb,201.403,77.951,12,0,13,5826.65,
bot,203.864,77.01,11,6,7,5807.004,
zho,204.084,76.92699999999999,10,4,8,5808.709,
mag,201.158,78.04599999999999,5,0,17,5849.937,
sch,nan,nan,nan,0,nan,nan,
ham,234.312,90.51,5,16,3,8276.536,
rus,nan,nan,8,0,18,nan,
ver,229.633,92.354,2,6,7,8289.088,
per,233.212,90.937,4,18,2,8274.09,
lec,232.330,91.282,3,12,4,8278.857,
sai,233.530,90.813,1,25,1,8270.311,
gas,224.148,94.614,11,0,16,nan,
tsu,226.016,93.832,13,0,14,8311.221,
ric,228.914,92.644,14,0,13,8303.128,
nor,231.410,91.645,6,8,6,8282.254,
oco,226.729,93.537,15,0,15,nan,
alo,231.501,91.60900000000001,7,10,5,8279.882,
vet,229.343,92.471,18,2,9,8292.667,
str,229.571,92.37899999999999,20,0,11,8296.458,
lat,227.339,93.286,10,0,12,8302.822,
alb,nan,nan,16,0,20,nan,
bot,222.996,95.10300000000001,12,0,17,nan,
zho,nan,nan,9,0,19,nan,
mag,228.872,92.661,17,1,10,8294.901,
sch,nan,nan,nan,0,nan,nan,
ham,225.286,69.0,9,16,3,5105.529,
rus,225.042,69.075,4,17,4,5123.284,
ver,231.063,67.275,1,27,2,5065.844,
per,216.371,71.843,13,4,20,nan,
lec,230.010,67.583,2,32,1,5064.312,
sai,226.438,68.649,3,6,18,nan,
gas,221.739,70.104,10,0,15,nan,
tsu,221.995,70.023,14,0,16,nan,
ric,222.309,69.924,16,2,9,nan,
nor,224.298,69.304,15,6,7,nan,
oco,223.476,69.559,5,13,5,5132.748,
alo,226.739,68.55799999999999,8,1,10,nan,
vet,222.065,70.001,20,0,17,nan,
str,221.916,70.048,17,0,13,nan,
lat,219.280,70.89,19,0,19,nan,
alb,223.123,69.669,11,0,12,nan,
bot,224.421,69.266,12,0,11,nan,
zho,224.053,69.38,18,0,14,nan,
mag,222.265,69.938,6,6,8,nan,
sch,nan,nan,nan,0,nan,nan,
ham,215.333,97.668,4,18,2,5412.699,
rus,215.598,97.548,6,15,3,5418.607,
ver,215.724,97.491,2,25,1,5402.112,
per,215.086,97.78,3,12,4,5419.422,
lec,214.411,98.088,1,0,19,nan,
sai,219.575,95.781,19,11,5,5430.984,
gas,212.896,98.786,14,0,12,5467.56,
tsu,209.858,100.21600000000001,8,0,20,nan,
ric,212.151,99.13300000000001,9,2,9,5462.484,
nor,212.356,99.037,5,6,7,5454.138,
oco,213.116,98.684,10,4,8,5459.071,
alo,214.254,98.16,7,8,6,5444.991,
vet,212.341,99.044,12,0,11,5466.606,
str,212.040,99.185,15,1,10,5464.661,
lat,211.050,99.65,18,0,17,nan,
alb,212.010,99.199,13,0,13,5470.677,
bot,214.685,97.963,11,0,14,5478.778,
zho,211.649,99.368,16,0,16,nan,
mag,211.869,99.265,20,0,18,nan,
sch,nan,nan,nan,0,nan,nan,
ham,193.787,81.386,7,19,2,5983.746,
rus,190.556,82.76599999999999,1,15,3,5988.249,
ver,192.041,82.126,10,25,1,5975.912,
per,192.477,81.94,11,10,5,5991.6,
lec,193.227,81.622,3,8,6,5991.959,
sai,192.336,82.0,2,12,4,5990.491,
gas,189.564,83.199,20,0,12,nan,
tsu,188.795,83.538,16,0,19,nan,
ric,188.533,83.654,9,0,15,nan,
nor,189.920,83.043,4,6,7,6054.212,
oco,187.424,84.149,5,2,9,nan,
alo,187.804,83.979,6,4,8,nan,
vet,190.423,82.824,18,1,10,nan,
str,191.317,82.437,14,0,11,nan,
lat,191.221,82.47800000000001,19,0,18,nan,
alb,189.911,83.047,17,0,17,nan,
bot,187.752,84.002,8,0,20,nan,
zho,192.268,82.029,12,0,13,nan,
mag,188.856,83.511,13,0,16,nan,
sch,nan,nan,nan,0,nan,nan,
ham,nan,nan,4,0,20,nan,
rus,227.581,110.793,5,12,4,5182.034,
ver,230.575,109.354,14,26,1,5152.894,
per,227.640,110.76400000000001,2,18,2,5170.735,
lec,229.255,109.98400000000001,15,8,6,5227.83,
sai,225.174,111.977,1,15,3,5179.78,
gas,223.132,113.00200000000001,0,2,9,5245.075,
tsu,224.255,112.436,0,0,13,5258.111,
ric,222.978,113.08,7,0,15,5260.057,
nor,225.777,111.678,17,0,12,5257.633,
oco,225.698,111.717,16,6,7,5228.534,
alo,223.397,112.868,3,10,5,5226.15,
vet,224.098,112.515,10,4,8,5231.001,
str,223.373,112.88,9,0,11,5255.972,
lat,224.615,112.256,11,0,18,nan,
alb,223.027,113.055,6,1,10,5254.794,
bot,nan,nan,13,0,19,nan,
zho,224.493,112.31700000000001,18,0,14,5259.146,
mag,222.482,113.332,12,0,16,nan,
sch,nan,nan,nan,0,nan,nan,
ham,207.604,73.854,4,12,4,5815.789,
rus,208.119,73.67099999999999,6,18,2,5806.844,
ver,208.173,73.652,1,26,1,5802.773,
per,206.069,74.404,5,10,5,5820.941,
lec,206.044,74.413,2,15,3,5813.702,
sai,205.409,74.643,3,4,8,5823.689,
gas,203.983,75.16499999999999,11,0,11,5829.782,
tsu,198.765,77.138,9,0,20,nan,
ric,202.871,75.577,17,0,17,5840.537,
nor,205.236,74.706,7,6,7,5822.079,
oco,204.203,75.084,12,2,9,5823.89,
alo,206.792,74.144,13,8,6,5821.527,
vet,204.808,74.862,19,0,14,5838.78,
str,204.314,75.043,10,1,10,5825.232,
lat,201.567,76.066,20,0,18,nan,
alb,202.986,75.534,15,0,12,5833.163,
bot,199.526,76.844,16,0,19,nan,
zho,201.901,75.94,14,0,16,5840.093,
mag,203.431,75.369,18,0,15,5839.642,
sch,nan,nan,nan,0,nan,nan,
ham,nan,nan,19,10,5,4832.891,
rus,nan,nan,2,15,3,4830.916,
ver,nan,nan,7,25,1,4827.511,
per,nan,nan,13,9,6,4833.602,
lec,nan,nan,1,18,2,4829.957,
sai,nan,nan,18,12,4,4832.572,
gas,nan,nan,5,4,8,4833.907,
tsu,nan,nan,20,0,14,nan,
ric,nan,nan,4,0,17,nan,
nor,nan,nan,3,6,7,4833.718,
oco,nan,nan,14,0,11,4835.834,
alo,nan,nan,6,0,19,nan,
vet,nan,nan,11,0,20,nan,
str,nan,nan,12,0,18,nan,
lat,nan,nan,10,0,15,nan,
bot,nan,nan,15,0,13,nan,
alb,nan,nan,nan,0,nan,nan,
zho,nan,nan,9,1,10,4835.421,
mag,nan,nan,16,0,16,nan,
sch,nan,nan,nan,0,nan,nan,
ham,164.766,110.622,3,2,9,7401.753,
rus,171.211,106.458,0,0,14,nan,
ver,167.000,109.142,8,6,7,7399.063,
per,168.509,108.16499999999999,2,25,1,7340.238,
lec,167.598,108.753,1,18,2,7342.833,
sai,168.122,108.414,4,15,3,7350.543,
gas,164.845,110.569,7,1,10,7409.814,
tsu,153.532,118.71600000000001,10,0,15,nan,
ric,164.196,111.006,16,10,5,7393.52,
nor,166.893,109.212,6,12,4,7361.371,
oco,150.504,121.105,17,0,16,nan,
alo,151.306,120.463,5,0,18,nan,
vet,164.696,110.669,13,4,8,7400.27,
str,165.272,110.283,11,8,6,7396.568,
lat,145.135,125.585,19,0,19,nan,
alb,149.251,122.121,18,0,17,nan,
bot,162.937,111.864,15,0,11,7429.082,
zho,145.168,125.556,14,0,20,nan,
mag,162.641,112.06700000000001,9,0,12,7432.848,
sch,nan,nan,nan,0,nan,nan,
ham,nan,nan,6,10,5,10944.33,
rus,nan,nan,8,4,8,10951.665,
ver,nan,nan,1,25,1,10904.004,
per,nan,nan,4,18,2,10931.07,
lec,nan,nan,2,15,3,10935.767,
sai,nan,nan,3,0,19,nan,
gas,nan,nan,17,0,17,10992.095,
tsu,nan,nan,13,0,13,10979.603,
ric,nan,nan,11,0,11,10976.881,
nor,nan,nan,10,1,10,10974.786,
oco,nan,nan,5,12,4,10943.689,
alo,nan,nan,7,6,7,10950.373,
vet,nan,nan,9,8,6,10950.362,
str,nan,nan,19,0,12,10977.908,
lat,nan,nan,20,2,9,10974.147,
alb,nan,nan,16,0,20,nan,
bot,nan,nan,12,0,15,10990.5,
zho,nan,nan,14,0,16,10991.047,
mag,nan,nan,18,0,14,10990.02,
sch,nan,nan,nan,0,nan,nan,
ham,198.805,99.83,3,18,2,6136.71,
rus,200.902,98.788,4,11,5,6176.502,
ver,199.383,99.541,2,25,1,6131.687,
per,199.339,99.563,9,12,4,6139.98,
lec,199.003,99.731,12,15,3,6139.188,
sai,nan,nan,1,0,20,nan,
gas,195.200,101.674,11,0,13,6213.45,
tsu,194.184,102.206,19,2,9,6202.606,
ric,193.778,102.42,15,0,16,6222.174,
nor,195.878,101.322,6,8,6,6185.472,
oco,196.031,101.243,0,1,10,6204.562,
alo,194.951,101.804,14,0,15,6216.765,
vet,195.461,101.538,10,6,7,6197.041,
str,192.537,103.08,5,0,18,nan,
lat,191.784,103.485,17,0,17,6235.275,
alb,193.682,102.471,8,0,12,6211.744,
bot,191.958,103.39099999999999,7,0,19,nan,
zho,193.827,102.394,18,0,11,6207.851,
mag,193.540,102.54599999999999,13,4,8,6197.521,
sch,nan,nan,nan,0,nan,nan,
