raceIndex,driver,standing,quali,result,team
2,RIC,0,14,16,RB F1 Team
2,MAG,0,13,12,Haas F1 Team
2,ALB,0,12,11,Williams
2,BEA,6,11,7,Ferrari
2,STR,1,10,19,Aston Martin
2,TSU,0,9,15,RB F1 Team
2,HAM,8,8,9,Mercedes
2,RUS,18,7,6,Mercedes
2,NOR,12,6,8,McLaren
2,PIA,16,5,4,McLaren
2,ALO,12,4,5,Aston Martin
2,PER,36,3,2,Red Bull
2,LEC,28,2,3,Ferrari
2,VER,51,1,1,Red Bull
1,GAS,0,20,18,Alpine F1 Team
1,OCO,0,19,17,Alpine F1 Team
1,SAR,0,18,20,Williams
1,ZHO,0,17,11,Sauber
1,BOT,0,16,19,Sauber
1,MAG,0,15,12,Haas F1 Team
1,RIC,0,14,13,RB F1 Team
1,ALB,0,13,15,Williams
1,STR,1,12,10,Aston Martin
1,TSU,0,11,14,RB F1 Team
1,HUL,0,10,16,Haas F1 Team
1,HAM,6,9,7,Mercedes
1,PIA,4,8,8,McLaren
1,NOR,8,7,6,McLaren
1,ALO,2,6,9,Aston Martin
1,PER,18,5,2,Red Bull
1,SAI,15,4,3,Ferrari
1,RUS,10,3,5,Mercedes
1,LEC,12,2,4,Ferrari
1,VER,26,1,1,Red Bull
